0,1,2,3,4,5,6,7,8
IN04,"Fast Moving Consumer 
Goods",IN0401,"Fast Moving 
Consumer Goods",IN040101,"Agricultural Food & 
other Products",IN040101003,Tea & Coffee,Producers and distributors of tea and coffee
IN04,"Fast Moving Consumer 
Goods",IN0401,"Fast Moving 
Consumer Goods",IN040101,"Agricultural Food & 
other Products",IN040101004,"Other Agricultural 
Products","Producers and distributors of agricultural products 
not classified elsewhere"
IN04,"Fast Moving Consumer 
Goods",IN0401,"Fast Moving 
Consumer Goods",IN040102,Beverages,IN040102001,Breweries & Distilleries,"Manufacturers of alcoholic beverages. Includes 
distillers"
IN04,"Fast Moving Consumer 
Goods",IN0401,"Fast Moving 
Consumer Goods",IN040102,Beverages,IN040102002,Other Beverages,Manufacturers of non-alcoholic beverages
IN04,"Fast Moving Consumer 
Goods",IN0401,"Fast Moving 
Consumer Goods",IN040103,"Cigarettes & Tobacco 
Products",IN040103001,"Cigarettes & Tobacco 
Products","Manufacturers and distributors of cigarettes and 
other tobacco products"
IN04,"Fast Moving Consumer 
Goods",IN0401,"Fast Moving 
Consumer Goods",IN040104,Food Products,IN040104001,Animal Feed,Manufacturers and distributors of animal feed
IN04,"Fast Moving Consumer 
Goods",IN0401,"Fast Moving 
Consumer Goods",IN040104,Food Products,IN040104002,Dairy Products,Producers and distributors of dairy products
IN04,"Fast Moving Consumer 
Goods",IN0401,"Fast Moving 
Consumer Goods",IN040104,Food Products,IN040104003,Other Food Products,"Producers and distributors of other food products 
not classified elsewhere"
IN04,"Fast Moving Consumer 
Goods",IN0401,"Fast Moving 
Consumer Goods",IN040104,Food Products,IN040104004,Packaged Foods,"Producers & distributors of packaged foods 
including biscuits, chocolates, chips etc."
IN04,"Fast Moving Consumer 
Goods",IN0401,"Fast Moving 
Consumer Goods",IN040104,Food Products,IN040104005,Seafood,"Culture and processors of fish, shrimp and other 
sea/ fresh water food"
IN04,"Fast Moving Consumer 
Goods",IN0401,"Fast Moving 
Consumer Goods",IN040104,Food Products,IN040104006,"Meat Products including 
Poultry","Processors of meat and/ or breeders and processors 
of chicken and eggs"
IN04,"Fast Moving Consumer 
Goods",IN0401,"Fast Moving 
Consumer Goods",IN040105,Personal Products,IN040105001,Personal Care,"Manufacturers and distributors of personal 
products such as tooth paste, shampoo, perfume, 
cosmetics etc."
IN04,"Fast Moving Consumer 
Goods",IN0401,"Fast Moving 
Consumer Goods",IN040106,Household Products,IN040106001,Household Products,"Manufacturers and distributors of household 
products such as aluminium foils, detergents, 
matchstick, paper tissues, soaps etc., manufacturers 
and distributors of batteries used in home 
appliances. Excludes automobiles batteries 
classified under 'Consumer Discretionary', 
manufacturers and distributors of photographic 
products"
IN04,"Fast Moving Consumer 
Goods",IN0401,"Fast Moving 
Consumer Goods",IN040106,Household Products,IN040106004,Stationary,"Manufacturers and distributors of stationary such 
as pen, pencil, notebooks etc."
IN04,"Fast Moving Consumer 
Goods",IN0401,"Fast Moving 
Consumer Goods",IN040107,Diversified FMCG,IN040107001,Diversified FMCG,"Companies engaged into multiple FMCG products, 
where no single business segment contributes more 
than 50% of companies' total revenue and two or 
more segments each contributes at least 20% of 
total revenue"
IN05,Financial Services,IN0501,Financial Services,IN050101,Finance,IN050101001,Financial Institution,"Financial Institutions as defined under Section 4(1) 
of the Companies Act, 1956"
IN05,Financial Services,IN0501,Financial Services,IN050101,Finance,IN050101002,Housing Finance Company,"Companies providing loan for buying housing and 
commercial properties"
IN05,Financial Services,IN0501,Financial Services,IN050101,Finance,IN050101003,Investment Company,"Companies which earn major revenue from 
interest, capital appreciation from investments 
made. It does not include rental income which is 
classified under 'Diversified Commercial Services'"
IN05,Financial Services,IN0501,Financial Services,IN050101,Finance,IN050101004,"Non Banking Financial 
Company (NBFC)","Non Banking Financial Company (NBFC) as may be 
specified by the Reserve Bank of India (RBI).  It 
excludes companies classified under basic industry 
'Microfinance Institutions'"
IN05,Financial Services,IN0501,Financial Services,IN050101,Finance,IN050101005,Other Financial Services,"Companies providing financial services not covered 
elsewhere under 'Financial Services'"
